Party,Won,Leading,Total,Seat %
Bharatiya Janata Party - BJP,240,0,240,22.099447513812155
Indian National Congress - INC,99,0,99,9.116022099447514
Samajwadi Party - SP,37,0,37,3.4069981583793743
All India Trinamool Congress - AITC,29,0,29,2.6703499079189688
Dravida Munnetra Kazhagam - DMK,22,0,22,2.0257826887661143
Telugu Desam - TDP,16,0,16,1.4732965009208103
Janata Dal  (United) - JD(U),12,0,12,1.1049723756906076
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,0,9,0.8287292817679558
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,8,0,8,0.7366482504604052
Shiv Sena - SHS,7,0,7,0.6445672191528545
Lok Janshakti Party(Ram Vilas) - LJPRV,5,0,5,0.46040515653775327
Yuvajana Sramika Rythu Congress Party - YSRCP,4,0,4,0.3683241252302026
Rashtriya Janata Dal - RJD,4,0,4,0.3683241252302026
Communist Party of India  (Marxist) - CPI(M),4,0,4,0.3683241252302026
Indian Union Muslim League - IUML,3,0,3,0.2762430939226519
Aam Aadmi Party - AAAP,3,0,3,0.2762430939226519
Jharkhand Mukti Morcha - JMM,3,0,3,0.2762430939226519
Janasena Party - JnP,2,0,2,0.1841620626151013
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,0,2,0.1841620626151013
Janata Dal  (Secular) - JD(S),2,0,2,0.1841620626151013
Viduthalai Chiruthaigal Katchi - VCK,2,0,2,0.1841620626151013
Communist Party of India - CPI,2,0,2,0.1841620626151013
Rashtriya Lok Dal - RLD,2,0,2,0.1841620626151013
Jammu & Kashmir National Conference - JKN,2,0,2,0.1841620626151013
"United People’s Party, Liberal - UPPL",1,0,1,0.09208103130755065
Asom Gana Parishad - AGP,1,0,1,0.09208103130755065
Hindustani Awam Morcha (Secular) - HAMS,1,0,1,0.09208103130755065
Kerala Congress - KEC,1,0,1,0.09208103130755065
Revolutionary Socialist Party - RSP,1,0,1,0.09208103130755065
Nationalist Congress Party - NCP,1,0,1,0.09208103130755065
Voice of the People Party - VOTPP,1,0,1,0.09208103130755065
Zoram People’s Movement - ZPM,1,0,1,0.09208103130755065
Shiromani Akali Dal - SAD,1,0,1,0.09208103130755065
Rashtriya Loktantrik Party - RLTP,1,0,1,0.09208103130755065
Bharat Adivasi Party - BHRTADVSIP,1,0,1,0.09208103130755065
Sikkim Krantikari Morcha - SKM,1,0,1,0.09208103130755065
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,0,1,0.09208103130755065
Aazad Samaj Party (Kanshi Ram) - ASPKR,1,0,1,0.09208103130755065
Apna Dal (Soneylal) - ADAL,1,0,1,0.09208103130755065
AJSU Party - AJSUP,1,0,1,0.09208103130755065
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,0,1,0.09208103130755065
Independent - IND,7,0,7,0.6445672191528545
Total,543,0,543,50.0
